Regressor,Method,k,n_rep,EC,EC_scalar_sd,EC_vec_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MSqE,MSqE_sd,R2,R2_sd
Knn-H,ratio-diff-signed,5.00,50.00,0.12,0.02,0.08,0.08,-0.85,-0.23,0.02,0.08,0.21,0.58,0.86,1.00,-1.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,ratio-diff,5.00,50.00,0.19,0.03,0.13,0.10,0.00,0.00,0.04,0.10,0.25,0.69,0.93,1.00,0.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,ratio-signed,5.00,50.00,0.68,0.05,0.23,0.81,-0.72,-0.11,0.58,0.81,0.93,1.00,1.00,1.00,-1.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,intersection_union_sample,5.00,50.00,0.71,0.05,0.19,0.81,0.00,0.00,0.58,0.81,0.93,1.00,1.00,1.00,0.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,ratio,5.00,50.00,0.73,0.05,0.15,0.81,0.04,0.18,0.60,0.81,0.93,1.00,1.00,1.00,0.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,intersection_union_all,5.00,50.00,0.78,NA,0.04,0.78,0.75,0.75,0.77,0.78,0.78,0.79,1.00,1.00,0.74,59.09,0.36,"7,651.71",101.31,0.76,0.00
Knn-H,intersection_union_distance,5.00,50.00,14.51,2.54,11.38,7.15,0.00,0.07,2.10,7.15,18.68,53.05,99.17,336.81,0.00,59.09,0.36,"7,651.71",101.31,0.76,0.00
Lasso-H,ratio-diff-signed,5.00,50.00,0.05,0.01,0.06,0.02,-0.44,0.00,0.01,0.02,0.06,0.25,0.64,1.00,-1.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,ratio-diff,5.00,50.00,0.07,0.01,0.10,0.02,0.00,0.00,0.01,0.02,0.06,0.31,0.76,1.00,0.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,ratio-signed,5.00,50.00,0.88,0.02,0.18,0.95,-0.27,0.48,0.88,0.95,0.98,1.00,1.00,1.00,-1.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,intersection_union_sample,5.00,50.00,0.88,0.02,0.15,0.95,0.00,0.48,0.88,0.95,0.98,1.00,1.00,1.00,0.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,ratio,5.00,50.00,0.89,0.02,0.13,0.95,0.14,0.52,0.89,0.95,0.98,1.00,1.00,1.00,0.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,intersection_union_all,5.00,50.00,0.95,NA,0.01,0.95,0.94,0.94,0.95,0.95,0.96,0.96,1.00,1.00,0.93,78.10,0.13,"11,850.79",23.39,0.63,0.00
Lasso-H,intersection_union_distance,5.00,50.00,3.60,0.75,1.08,2.89,0.00,0.14,1.28,2.89,5.13,9.52,13.61,114.15,0.00,78.10,0.13,"11,850.79",23.39,0.63,0.00
LinReg,ratio-diff-signed,5.00,50.00,0.05,0.01,0.06,0.02,-0.46,0.00,0.01,0.02,0.06,0.26,0.64,1.00,-1.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,ratio-diff,5.00,50.00,0.07,0.01,0.10,0.03,0.00,0.00,0.01,0.03,0.06,0.32,0.76,1.00,0.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,ratio-signed,5.00,50.00,0.88,0.02,0.18,0.95,-0.29,0.48,0.88,0.95,0.98,1.00,1.00,1.00,-1.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,intersection_union_sample,5.00,50.00,0.88,0.02,0.15,0.95,0.00,0.48,0.88,0.95,0.98,1.00,1.00,1.00,0.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,ratio,5.00,50.00,0.89,0.02,0.13,0.95,0.14,0.52,0.88,0.95,0.98,1.00,1.00,1.00,0.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,intersection_union_all,5.00,50.00,0.95,NA,0.02,0.95,0.89,0.90,0.95,0.95,0.96,0.96,1.00,1.00,0.88,78.11,0.11,"11,850.65",24.14,0.63,0.00
LinReg,intersection_union_distance,5.00,50.00,4.06,1.45,22.41,2.96,0.00,0.14,1.32,2.96,5.24,9.73,13.93,"16,580.88",0.00,78.11,0.11,"11,850.65",24.14,0.63,0.00
RF-H,ratio-diff-signed,5.00,50.00,0.13,0.02,0.08,0.10,-0.86,-0.28,0.03,0.10,0.22,0.59,0.88,1.00,-1.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,ratio-diff,5.00,50.00,0.20,0.03,0.13,0.12,0.00,0.00,0.05,0.12,0.27,0.71,0.93,1.00,0.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,ratio-signed,5.00,50.00,0.66,0.06,0.25,0.78,-0.75,-0.16,0.55,0.78,0.91,0.99,1.00,1.00,-1.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,intersection_union_sample,5.00,50.00,0.69,0.05,0.20,0.78,0.00,0.00,0.55,0.78,0.91,0.99,1.00,1.00,0.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,ratio,5.00,50.00,0.71,0.05,0.15,0.79,0.04,0.17,0.58,0.79,0.91,0.99,1.00,1.00,0.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,intersection_union_all,5.00,50.00,0.77,NA,0.04,0.77,0.74,0.75,0.76,0.77,0.77,0.78,1.00,1.00,0.73,50.76,0.24,"5,689.36",67.93,0.82,0.00
RF-H,intersection_union_distance,5.00,50.00,13.08,2.28,9.92,7.45,0.00,0.14,2.09,7.45,17.77,45.37,76.72,251.62,0.00,50.76,0.24,"5,689.36",67.93,0.82,0.00
Ridge-H,ratio-diff-signed,5.00,50.00,0.05,0.01,0.06,0.02,-0.43,0.00,0.01,0.02,0.06,0.26,0.64,1.00,-1.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,ratio-diff,5.00,50.00,0.07,0.01,0.10,0.03,0.00,0.00,0.01,0.03,0.06,0.31,0.76,1.00,0.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,ratio-signed,5.00,50.00,0.88,0.02,0.18,0.95,-0.28,0.48,0.88,0.95,0.98,1.00,1.00,1.00,-1.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,intersection_union_sample,5.00,50.00,0.88,0.02,0.15,0.95,0.00,0.48,0.88,0.95,0.98,1.00,1.00,1.00,0.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,ratio,5.00,50.00,0.90,0.02,0.13,0.95,0.14,0.52,0.88,0.95,0.98,1.00,1.00,1.00,0.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,intersection_union_all,5.00,50.00,0.95,NA,0.01,0.95,0.94,0.94,0.95,0.95,0.96,0.96,1.00,1.00,0.93,78.12,0.11,"11,853.75",24.97,0.63,0.00
Ridge-H,intersection_union_distance,5.00,50.00,3.68,0.76,1.14,2.95,0.00,0.13,1.31,2.95,5.24,9.74,13.95,126.35,0.00,78.12,0.11,"11,853.75",24.97,0.63,0.00
SVR-H,ratio-diff-signed,5.00,50.00,0.06,0.01,0.06,0.03,-0.49,0.00,0.01,0.03,0.07,0.28,0.68,1.00,-1.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,ratio-diff,5.00,50.00,0.08,0.02,0.10,0.03,0.00,0.00,0.01,0.03,0.08,0.35,0.79,1.00,0.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,ratio-signed,5.00,50.00,0.86,0.03,0.19,0.94,-0.33,0.43,0.86,0.94,0.98,1.00,1.00,1.00,-1.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,intersection_union_sample,5.00,50.00,0.87,0.02,0.16,0.94,0.00,0.43,0.86,0.94,0.98,1.00,1.00,1.00,0.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,ratio,5.00,50.00,0.88,0.02,0.13,0.94,0.12,0.48,0.86,0.94,0.98,1.00,1.00,1.00,0.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,intersection_union_all,5.00,50.00,0.95,NA,0.01,0.95,0.92,0.93,0.94,0.95,0.95,0.96,1.00,1.00,0.91,75.88,0.09,"12,352.87",37.54,0.61,0.00
SVR-H,intersection_union_distance,5.00,50.00,4.25,0.98,2.04,3.12,0.00,0.14,1.36,3.12,5.74,12.30,20.69,129.95,0.00,75.88,0.09,"12,352.87",37.54,0.61,0.00
